word,n
eddie,1231
bobby,963
buck,718
claudette,613
love,425
gayfirefightershow,384
dad,368
firefighter,365
albert,325
diaz,291
lucy,278
jonah,272
118,271
crying,263
taylor,261
josh,253
god,220
family,204
fire,203
mess,170
save,159
time,151
watching,149
omg,139
athena,132
day,132
wait,119
damn,118
shit,115
buddie,114
hen,111
baby,109
kid,108
fucking,106
chimney,105
dads,102
fuck,101
stop,89
team,89
calling,86
nash,86
season,86
bad,85
carson,85
guy,83
ass,80
buckley,78
guest,78
house,78
girl,77
waiting,77
bitch,76
coming,75
missed,75
called,74
sue,74
talking,72
daughter,71
heart,70
monday,70
song,70
captain,67
mayday,66
yeah,65
cap,64
people,64
saving,64
